Week,Parasite: (United States),Tiger King: (United States),Where is my stimulus money: (United States),Ruth Bader Ginsburg: (United States),Dalgona coffee: (United States)
12/22/2019,4,<1,0,1,0
12/29/2019,5,<1,0,1,0
1/5/2020,7,0,0,2,0
1/12/2020,9,<1,0,1,0
1/19/2020,11,<1,0,1,<1
1/26/2020,8,<1,0,1,<1
2/2/2020,9,<1,0,1,<1
2/9/2020,56,<1,<1,1,<1
2/16/2020,20,<1,0,1,0
2/23/2020,10,<1,0,1,<1
3/1/2020,6,<1,0,1,<1
3/8/2020,4,<1,0,1,<1
3/15/2020,4,1,<1,1,<1
3/22/2020,3,46,0,1,2
3/29/2020,3,71,<1,1,4
4/5/2020,7,35,<1,1,4
4/12/2020,5,23,4,1,3
4/19/2020,3,9,4,1,3
4/26/2020,3,6,1,1,2
5/3/2020,3,6,<1,4,1
5/10/2020,2,4,<1,1,1
5/17/2020,3,3,<1,1,1
5/24/2020,2,2,<1,1,1
5/31/2020,2,2,<1,1,<1
6/7/2020,2,2,<1,1,<1
6/14/2020,2,1,<1,1,<1
6/21/2020,2,1,<1,1,<1
6/28/2020,2,1,<1,1,<1
7/5/2020,2,1,<1,1,<1
7/12/2020,2,1,<1,9,<1
7/19/2020,2,1,<1,2,<1
7/26/2020,2,1,<1,2,<1
8/2/2020,2,1,<1,1,<1
8/9/2020,2,1,<1,1,<1
8/16/2020,2,1,<1,1,<1
8/23/2020,1,1,<1,1,<1
8/30/2020,2,1,<1,1,<1
9/6/2020,2,1,<1,1,<1
9/13/2020,2,1,<1,100,<1
9/20/2020,1,1,0,58,<1
9/27/2020,1,1,<1,10,<1
10/4/2020,1,1,<1,5,<1
10/11/2020,1,1,<1,5,<1
10/18/2020,1,1,0,2,<1
10/25/2020,1,2,<1,4,<1
11/1/2020,1,1,<1,3,<1
11/8/2020,1,1,0,2,<1
11/15/2020,1,1,<1,1,<1
11/22/2020,1,<1,0,1,<1
11/29/2020,1,1,<1,1,<1
12/6/2020,1,<1,0,1,<1
12/13/2020,1,<1,<1,1,<1
