Week,Black Lives Matter: (United States),TikTok: (United States),Yemen: (United States),Bushfires in Australia: (United States),Asymptomatic: (United States)
12/22/2019,<1,25,1,<1,<1
12/29/2019,<1,29,1,3,<1
1/5/2020,<1,27,1,8,<1
1/12/2020,<1,28,1,2,<1
1/19/2020,<1,32,1,1,<1
1/26/2020,<1,27,1,1,<1
2/2/2020,<1,28,1,1,<1
2/9/2020,<1,32,1,<1,<1
2/16/2020,<1,34,1,<1,<1
2/23/2020,<1,32,1,<1,<1
3/1/2020,<1,33,1,<1,1
3/8/2020,<1,34,1,<1,1
3/15/2020,<1,42,1,<1,4
3/22/2020,<1,51,1,<1,4
3/29/2020,<1,53,1,<1,5
4/5/2020,<1,54,1,<1,3
4/12/2020,<1,56,1,<1,3
4/19/2020,<1,58,1,<1,2
4/26/2020,<1,52,1,<1,2
5/3/2020,<1,48,1,<1,2
5/10/2020,<1,48,1,<1,2
5/17/2020,1,51,1,<1,2
5/24/2020,10,47,1,<1,2
5/31/2020,62,42,1,<1,1
6/7/2020,34,42,1,<1,7
6/14/2020,20,43,5,2,3
6/21/2020,15,52,2,1,4
6/28/2020,13,49,2,<1,4
7/5/2020,13,100,1,<1,4
7/12/2020,8,54,1,<1,4
7/19/2020,8,48,1,<1,3
7/26/2020,7,82,1,<1,2
8/2/2020,6,78,1,<1,2
8/9/2020,5,50,1,<1,2
8/16/2020,5,48,1,<1,2
8/23/2020,7,50,1,<1,2
8/30/2020,7,51,1,<1,1
9/6/2020,5,60,1,<1,1
9/13/2020,5,76,1,<1,1
9/20/2020,4,64,1,<1,1
9/27/2020,3,46,1,<1,1
10/4/2020,2,46,1,<1,1
10/11/2020,2,43,1,<1,1
10/18/2020,2,42,1,<1,1
10/25/2020,2,42,1,<1,1
11/1/2020,2,36,1,<1,1
11/8/2020,2,43,1,<1,2
11/15/2020,1,48,1,<1,2
11/22/2020,1,48,1,<1,2
11/29/2020,1,48,1,<1,2
12/6/2020,1,48,1,<1,2
12/13/2020,1,47,1,<1,2
