Week,George Floyd: (United States),Joe Biden: (United States),Unemployment: (United States),Zoom Video Communications: (United States),Stock market: (United States)
12/22/2019,<1,1,4,<1,3
12/29/2019,<1,1,5,1,3
1/5/2020,<1,1,5,1,3
1/12/2020,<1,1,5,1,3
1/19/2020,<1,1,5,1,3
1/26/2020,<1,1,5,1,4
2/2/2020,<1,2,5,1,4
2/9/2020,<1,2,5,1,3
2/16/2020,<1,2,5,1,4
2/23/2020,<1,3,4,2,15
3/1/2020,<1,14,4,2,12
3/8/2020,<1,8,5,7,28
3/15/2020,<1,4,41,30,22
3/22/2020,<1,4,75,58,16
3/29/2020,<1,2,100,67,9
4/5/2020,<1,5,92,56,10
4/12/2020,<1,4,88,47,8
4/19/2020,<1,3,84,43,7
4/26/2020,<1,5,78,38,6
5/3/2020,<1,3,66,32,5
5/10/2020,<1,3,63,30,6
5/17/2020,<1,4,62,27,5
5/24/2020,61,4,58,20,5
5/31/2020,74,4,54,21,6
6/7/2020,27,4,51,18,8
6/14/2020,8,3,50,16,6
6/21/2020,5,5,51,15,5
6/28/2020,3,4,52,13,6
7/5/2020,2,4,53,15,5
7/12/2020,2,4,52,15,5
7/19/2020,2,4,56,15,5
7/26/2020,2,4,51,14,4
8/2/2020,4,7,51,17,4
8/9/2020,2,12,52,23,4
8/16/2020,2,13,44,32,4
8/23/2020,2,6,42,36,4
8/30/2020,1,6,41,35,6
9/6/2020,1,5,43,33,4
9/13/2020,1,7,40,32,4
9/20/2020,1,6,35,28,4
9/27/2020,1,19,33,22,4
10/4/2020,1,10,31,20,4
10/11/2020,1,10,31,15,4
10/18/2020,1,14,31,18,4
10/25/2020,1,12,27,16,5
11/1/2020,1,49,21,11,5
11/8/2020,1,30,27,15,6
11/15/2020,<1,7,27,17,4
11/22/2020,<1,6,24,12,5
11/29/2020,<1,5,29,16,4
12/6/2020,<1,3,29,15,4
12/13/2020,<1,5,32,16,4
